,Especies,Familia,Endémica ,Exótica
,Micrathena fidelis,Araneidae,,
,Micrathena flaveola,Araneidae,,
,Micrathena funebris,Araneidae,,
,Micrathena gracilis,Araneidae,,
,Micrathena lepidoptera,Araneidae,,
,Micrathena osa,Araneidae,Endémica,
,Micrathena parallela,Araneidae,,
,Micrathena sagittata,Araneidae,,
,Micrepeira velso,Araneidae,Endémica,
,Neoscona arabesca,Araneidae,,
,Ocrepeira covillei,Araneidae,,
,Ocrepeira heredia,Araneidae,Endémica,
,Ocrepeira hondura,Araneidae,Endémica,
,Ocrepeira rufa,Araneidae,,
,Ocrepeira viejo,Araneidae,,
,Parawixia nesophila,Araneidae,,
,Parawixia rimosa,Araneidae,,
,Pronous beatus,Araneidae,,
,Pronous colon,Araneidae,Endémica,
,Pronous golfito,Araneidae,Endémica,
,Pronous intus,Araneidae,,
,Pronous peje,Araneidae,,
,Verrucosa carara,Araneidae,Endémica,
,Verrucosa tuberculata,Araneidae,,
,Wagneriana atuna,Araneidae,,
,Wagneriana spicata,Araneidae,,
6,Caponina sargi,Caponiidae,,
,Nops campeche,Caponiidae,,
,Nops tico,Caponiidae,,
7,Cheiracanthium inclusum,Cheiracanthiidae,,
,Eutichurus furcifer,Cheiracanthiidae,,
,Strotarchus minor,Cheiracanthiidae,Endémica,
8,Elaver calcarata,Clubionidae,,
,Elaver lizae,Clubionidae,Endémica,
,Elaver multinotata,Clubionidae,,
,Elaver tigrina,Clubionidae,,
,Elaver tristani,Clubionidae,Endémica,
,Elaver tumivulva,Clubionidae,Endémica,
9,Castianeira alba,Corinnidae,,
,Castianeira rica,Corinnidae,,
,Corinna modesta,Corinnidae,Endémica,
,Corinna pictipes,Corinnidae,Endémica,
,Creugas mucronatus,Corinnidae,,
,Mazax spinosa,Corinnidae,,
,Mazax xerxes,Corinnidae,Endémica,
10,Acanthoctenus kollari,Ctenidae,Endémica,
,Ctenus convexus,Ctenidae,,
,Ctenus peregrinus,Ctenidae,,
,Ctenus spiralis,Ctenidae,Endémica,
,Ctenus supinus,Ctenidae,Endémica,
,Kiekie curvipes,Ctenidae,,
,Kiekie griswoldi,Ctenidae,Endémica,
,Kiekie montanensis,Ctenidae,,
,Kiekie sanjose,Ctenidae,Endémica,
,Kiekie sarapiqui,Ctenidae,Endémica,
,Kiekie sinuatipes,Ctenidae,,
,Kiekie verbena,Ctenidae,Endémica,
,Phoneutria depilata,Ctenidae,,
,Phymatoctenus sassii,Ctenidae,Endémica,
,Phymatoctenus tristani,Ctenidae,Endémica,
,Spinoctenus ginae,Ctenidae,Endémica,
11,Fufius atramentarius,Cyrtaucheniidae,,
12,Emblyna roscida,Dictynidae,,
,Mallos margaretae,Dictynidae,,
13,Masteria angienae,Dipluridae,Endémica,
,Masteria downeyi,Dipluridae,,
14,Drymusa dinora,Drymusidae,Endémica,
15,Euagrus carlos,Euagridae,,
16,Kukulcania hibernalis,Filistatidae,,
,Kukulcania santosi,Filistatidae,,
17,Apodrassodes guatemalensis,Gnaphosidae,,
,Lygromma dybasi,Gnaphosidae,,
,Lygromma nicolae,Gnaphosidae,Endémica,
,Urozelotes rusticus,Gnaphosidae,,Introducida
,Zimiromus tropicalis,Gnaphosidae,,
18,Hahnia banksi,Hahniidae,,
,Neoantistea lyrica,Hahniidae,,
19,Ummidia carlosviquezi,Halonoproctidae,,
,Ummidia quepoa,Halonoproctidae,Endémica,
,Ummidia rugosa,Halonoproctidae,,
,Ummidia varablanca,Halonoproctidae,Endémica,
20,Neocteniza osa,Idiopidae,Endémica,
21,Ischnothele caudata,Ischnothelidae,,
22,Asemostera arcana,Linyphiidae,,
,Asemostera daedalus,Linyphiidae,,
,Erigone autumnalis,Linyphiidae,,
,Frontinella pyramitela,Linyphiidae,,
,Grammonota electa,Linyphiidae,Endémica,
,Grammonota maculata,Linyphiidae,,
,Grammonota tabuna,Linyphiidae,,
,Linyphia bifasciata,Linyphiidae,Endémica,
,Linyphia bisignata,Linyphiidae,Endémica,
,Linyphia falculifera,Linyphiidae,Endémica,
,Linyphia maculosa,Linyphiidae,Endémica,
,Linyphia postica,Linyphiidae,Endémica,
,Mermessus cognatus,Linyphiidae,,
,Mermessus facetus,Linyphiidae,Endémica,
,Mermessus fractus,Linyphiidae,Endémica,
,Mermessus rapidulus,Linyphiidae,,
,Pocobletus coroniger,Linyphiidae,,
,Smermisia holdridgi,Linyphiidae,Endémica,
,Walckenaeria crosbyi,Linyphiidae,Endémica,
,Walckenaeria intoleranda,Linyphiidae,,
23,Allocosa apora,Lycosidae,,
,Allocosa panamena,Lycosidae,,
,Allocosa parva,Lycosidae,,
,Allocosa pugnatrix,Lycosidae,,
,Arctosa fusca,Lycosidae,,
,Arctosa littoralis,Lycosidae,,
,Arctosa minuta,Lycosidae,,
,Hogna badia,Lycosidae,,
,Hogna brevitarsis,Lycosidae,,
,Hogna longitarsis,Lycosidae,,
,Hogna morosina,Lycosidae,Endémica,
,Lycosa biolleyi,Lycosidae,Endémica,
,Lycosa brunnea,Lycosidae,,
,Lycosa signiventris,Lycosidae,,
,Lycosa subfusca,Lycosidae,,
,Pardosa costrica,Lycosidae,Endémica,
,Pardosa falcifera,Lycosidae,,
,Pardosa fastosa,Lycosidae,,
,Pardosa mayana,Lycosidae,,
,Pardosa prolifica,Lycosidae,,
,Pirata pagicola,Lycosidae,,
,Pirata turrialbicus,Lycosidae,,
,Schizocosa tristani,Lycosidae,,
,Sosippus agalenoides,Lycosidae,,
,Trochosa insignis,Lycosidae,Endémica,
24,Gelanor consequus,Mimetidae,,
,Gelanor siquirres,Mimetidae,Endémica,
,Gelanor zonatus,Mimetidae,,
,Mimetus bifurcatus,Mimetidae,Endémica,
,Mimetus rapax,Mimetidae,,
25,Maymena rica,Mysmenidae,Endémica,
,Microdipoena guttata,Mysmenidae,,
,Mysmenopsis tengellacompa,Mysmenidae,Endémica,
26,Gaucelmus augustinus,Nesticidae,,
27,Oecobius eberhardi,Oecobiidae,Endémica,
28,Cinetomorpha longisetosa,Oonopidae,,
,Cinetomorpha zero,Oonopidae,,
,Costarina aguirre,Oonopidae,Endémica,
,Costarina alturas,Oonopidae,Endémica,
,Costarina azul,Oonopidae,Endémica,
,Costarina barbilla,Oonopidae,Endémica,
,Costarina carara,Oonopidae,Endémica,
,Costarina carrillo,Oonopidae,Endémica,
,Costarina cerere,Oonopidae,Endémica,
,Costarina chiles,Oonopidae,Endémica,
,Costarina chonta,Oonopidae,Endémica,
,Costarina cima,Oonopidae,Endémica,
,Costarina concinna,Oonopidae,,
,Costarina cruces,Oonopidae,Endémica,
,Costarina cruz,Oonopidae,Endémica,
,Costarina cuerici,Oonopidae,Endémica,
,Costarina elena,Oonopidae,Endémica,
,Costarina espavel,Oonopidae,Endémica,
,Costarina frantzius,Oonopidae,Endémica,
,Costarina gemelo,Oonopidae,Endémica,
,Costarina hitoy,Oonopidae,Endémica,
,Costarina isidro,Oonopidae,Endémica,
,Costarina jimenez,Oonopidae,Endémica,
,Costarina junio,Oonopidae,Endémica,
,Costarina leones,Oonopidae,Endémica,
,Costarina macho,Oonopidae,Endémica,
,Costarina maritza,Oonopidae,Endémica,
,Costarina meridina,Oonopidae,Endémica,
,Costarina monte,Oonopidae,Endémica,
,Costarina mooreorum,Oonopidae,Endémica,
,Costarina murphyorum,Oonopidae,Endémica,
,Costarina nara,Oonopidae,Endémica,
,Costarina obtina,Oonopidae,,
,Costarina osa,Oonopidae,Endémica,
,Costarina palmar,Oonopidae,Endémica,
,Costarina parabio,Oonopidae,Endémica,
,Costarina parapalmar,Oonopidae,Endémica,
,Costarina paraplena,Oonopidae,Endémica,
,Costarina penshurst,Oonopidae,Endémica,
,Costarina pittier,Oonopidae,,
,Costarina pity,Oonopidae,Endémica,
,Costarina plena,Oonopidae,,
,Costarina poas,Oonopidae,Endémica,
,Costarina quepos,Oonopidae,Endémica,
,Costarina rafael,Oonopidae,Endémica,
,Costarina ramon,Oonopidae,Endémica,
,Costarina reventazon,Oonopidae,Endémica,
,Costarina san,Oonopidae,Endémica,
,Costarina selva,Oonopidae,Endémica,
,Costarina semibio,Oonopidae,Endémica,
,Costarina superplena,Oonopidae,Endémica,
,Costarina ubicki,Oonopidae,Endémica,
,Costarina upala,Oonopidae,Endémica,
,Costarina veragua,Oonopidae,Endémica,
,Costarina viejo,Oonopidae,Endémica,
,Costarina watina,Oonopidae,Endémica,
,Escaphiella schmidti,Oonopidae,,
,Heteroonops murphyorum,Oonopidae,Endémica,
,Heteroonops spinimanus,Oonopidae,,
,Hexapopha hone,Oonopidae,Endémica,
,Hexapopha jimenez,Oonopidae,Endémica,
,Hexapopha osa,Oonopidae,Endémica,
,Hexapopha reimoseri,Oonopidae,Endémica,
,Ischnothyreus peltifer,Oonopidae,,Introducida 
,Longoonops bicolor,Oonopidae,,
,Oonopoides cartago,Oonopidae,,
,Oonopoides cristo,Oonopidae,Endémica,
,Oonopoides upala,Oonopidae,Endémica,
,Oonops reticulatus,Oonopidae,,
,Opopaea deserticola,Oonopidae,,Introducida
,Orchestina chiriqui,Oonopidae,,
,Orchestina griswoldi,Oonopidae,Endémica,
,Orchestina laselva,Oonopidae,,
,Orchestina truncata,Oonopidae,,
,Pescennina laselva,Oonopidae,,
,Pescennina murphyorum,Oonopidae,,
,Pescennina viquezi,Oonopidae,Endémica,
,Ponsoonops bilzae,Oonopidae,Endémica,
,Ponsoonops lucha,Oonopidae,Endémica,
,Ponsoonops samadam,Oonopidae,Endémica,
,Ponsoonops sanvito,Oonopidae,Endémica,
,Ponsoonops viejo,Oonopidae,Endémica,
,Reductoonops lucha,Oonopidae,Endémica,
,Reductoonops monte,Oonopidae,Endémica,
,Reductoonops naci,Oonopidae,,
,Scaphiella altamira,Oonopidae,,
,Scaphiella antonio,Oonopidae,,
,Scaphiella hitoy,Oonopidae,Endémica,
,Scaphiella hone,Oonopidae,,
,Scaphiella osa,Oonopidae,Endémica,
,Scaphiella virgen,Oonopidae,Endémica,
,Scaphiella vito,Oonopidae,Endémica,
,Scaphioides irazu,Oonopidae,Endémica,
,Stenoonops murphyorum,Oonopidae,Endémica,
,Stenoonops petrunkevitchi,Oonopidae,,
,Triaeris stenaspis,Oonopidae,,Introducida 
,Varioonops cafista,Oonopidae,Endémica,
,Varioonops girven,Oonopidae,Endémica,
,Varioonops heredia,Oonopidae,Endémica,
,Varioonops montesta,Oonopidae,Endémica,
,Varioonops poas,Oonopidae,Endémica,
,Varioonops ramila,Oonopidae,,
,Varioonops sansidro,Oonopidae,,
,Varioonops spatharum,Oonopidae,Endémica,
,Varioonops tortuguero,Oonopidae,Endémica,
,Varioonops varablanca,Oonopidae,Endémica,
,Varioonops velsala,Oonopidae,Endémica,
,Varioonops veragua,Oonopidae,Endémica,
,Xestaspis parmata,Oonopidae,,Introducida
29,Hamataliwa banksi,Oxyopidae,,
,Hamataliwa barroana,Oxyopidae,,
,Hamataliwa flebilis,Oxyopidae,,
,Hamataliwa globosa,Oxyopidae,,
,Hamataliwa puta,Oxyopidae,,
,Hamataliwa schmidti,Oxyopidae,,
,Hamataliwa tricuspidata,Oxyopidae,,
,Oxyopes bifidus,Oxyopidae,,
,Oxyopes bifissus,Oxyopidae,,
,Oxyopes flavus,Oxyopidae,,
,Oxyopes salticus,Oxyopidae,,
,Oxyopes summus,Oxyopidae,,
,Peucetia longipalpis,Oxyopidae,,
,Peucetia viridans,Oxyopidae,,
,Tapinillus longipes,Oxyopidae,,
30,Apollophanes punctipes,Philodromidae,,
,Philodromus longiductus,Philodromidae,Endémica,
,Philodromus satullus,Philodromidae,,
31,Anopsicus chiriqui,Pholcidae,,
,Anopsicus concinnus,Pholcidae,Endémica,
,Anopsicus facetus,Pholcidae,Endémica,
,Anopsicus tico,Pholcidae,Endémica,
,Anopsicus turrialba,Pholcidae,Endémica,
,Artema atlanta,Pholcidae,,Introducida
,Coryssocnemis viridescens,Pholcidae,,
,Metagonia delicata,Pholcidae,,
,Metagonia hitoy,Pholcidae,Endémica,
,Metagonia hondura,Pholcidae,Endémica,
,Metagonia osa,Pholcidae,Endémica,
,Metagonia reventazona,Pholcidae,,
,Metagonia rica,Pholcidae,,
,Metagonia selva,Pholcidae,Endémica,
,Metagonia talamanca,Pholcidae,Endémica,
,Metagonia uvita,Pholcidae,Endémica,
,Micropholcus fauroti,Pholcidae,,Introducida
,Modisimus bribri,Pholcidae,,
,Modisimus cahuita,Pholcidae,Endémica,
,Modisimus coco,Pholcidae,Endémica,
,Modisimus dominical,Pholcidae,Endémica,
,Modisimus guatuso,Pholcidae,,
,Modisimus madreselva,Pholcidae,Endémica,
,Modisimus pittier,Pholcidae,,
,Modisimus sanvito,Pholcidae,Endémica,
,Modisimus sarapiqui,Pholcidae,Endémica,
,Modisimus tortuguero,Pholcidae,Endémica,
,Pholcus phalangioides,Pholcidae,,Introducida
,Physocyclus dugesi,Pholcidae,,
,Physocyclus guanacaste,Pholcidae,,
32,Thaumasia abrahami,Pisauridae,,
,Thaumasia argenteonotata,Pisauridae,,
,Thaumasia caracarai,Pisauridae,,
,Thaumasia hirsutochela,Pisauridae,,
,Thaumasia senilis,Pisauridae,,
,Tinus nigrinus,Pisauridae,,
,Tinus ursus,Pisauridae,,
33,Plectreurys janzeni,Plectreuridae,,
34,Acragas hieroglyphicus,Salticidae,,
,Acragas pacatus,Salticidae,,
,Acragas quadriguttatus,Salticidae,,
,Ashtabula dentata,Salticidae,,
,Bagheera kiplingi,Salticidae,,
,Bagheera laselva,Salticidae,Endémica,
,Balmaceda picta,Salticidae,,
,Beata magna,Salticidae,,
,Beata rustica,Salticidae,,
,Chapoda inermis,Salticidae,,
,Chapoda recondita,Salticidae,,
,Chira spinosa,Salticidae,,
,Chira trivittata,Salticidae,,
,Colonus sylvanus,Salticidae,,
,Corythalia albicincta,Salticidae,,
,Corythalia conspecta,Salticidae,,
,Corythalia murcida,Salticidae,,
,Corythalia nigropicta,Salticidae,,
,Corythalia parvula,Salticidae,,
,Corythalia porphyra,Salticidae,Endémica,
,Corythalia quadriguttata,Salticidae,,
,Corythalia sulphurea,Salticidae,,
,Cotinusa distincta,Salticidae,,
,Cylistella adjacens,Salticidae,,
,Cyllodania bicruciata,Salticidae,,
,Euophrys newtoni,Salticidae,,
,Freya prominens,Salticidae,,
,Frigga pratensis,Salticidae,,
,Fuentes pertinax,Salticidae,,
,Habronattus banksi,Salticidae,,
,Habronattus mexicanus,Salticidae,,
,Habronattus paratus,Salticidae,,
,Hasarius adansoni,Salticidae,,Introducida
,Hentzia fimbriata,Salticidae,,
,Hentzia parallela,Salticidae,,
,Hypaeus benignus,Salticidae,,
,Lyssomanes anchicaya,Salticidae,,
,Lyssomanes bitaeniatus,Salticidae,,
,Lyssomanes convexus,Salticidae,Endémica,
,Lyssomanes elegans,Salticidae,,
,Lyssomanes jemineus,Salticidae,,
,Lyssomanes mandibulatus,Salticidae,,
,Lyssomanes patens,Salticidae,,
,Lyssomanes reductus,Salticidae,,
,Lyssomanes unicolor,Salticidae,,
,Martella lineatipes,Salticidae,,
,Martella pottsi,Salticidae,,
,Menemerus bivittatus,Salticidae,,Introducida
,Menemerus marginalis,Salticidae,Endémica,
,Messua dentigera,Salticidae,,
,Messua desidiosa,Salticidae,,
,Messua moma,Salticidae,,
,Messua octonotata,Salticidae,,
,Metacyrba punctata,Salticidae,,
,Metacyrba venusta,Salticidae,,
,Metaphidippus bispinosus,Salticidae,,
,Metaphidippus comptus,Salticidae,Endémica,
,Metaphidippus globosus,Salticidae,Endémica,
,Metaphidippus lanceolatus,Salticidae,,
,Metaphidippus mandibulatus,Salticidae,Endémica,
,Metaphidippus pallens,Salticidae,,
,Metaphidippus quadrinotatus,Salticidae,,
,Myrmapana centralis,Salticidae,,
,Nagaina incunda,Salticidae,,
,Nycerella delecta,Salticidae,,
,Nycerella sanguinea,Salticidae,,
,Pachomius dybowskii,Salticidae,,
,Paraphidippus aurantius,Salticidae,,
,Paraphidippus disjunctus,Salticidae,,
,Paraphidippus fartilis,Salticidae,,
,Paraphidippus funebris,Salticidae,,
,Paraphidippus incontestus,Salticidae,Endémica,
,Paraphidippus inermis,Salticidae,,
,Paraphidippus luteus,Salticidae,,
,Parnaenus cyanidens,Salticidae,,
,Pelegrina galathea,Salticidae,,
,Pelegrina variegata,Salticidae,,
,Phiale formosa,Salticidae,Endémica,
,Phiale guttata,Salticidae,,
,Phidippus bidentatus,Salticidae,,
,Phidippus pius,Salticidae,,
,Platycryptus californicus,Salticidae,,
,Platycryptus magnus,Salticidae,,
,Plexippus paykulli,Salticidae,,Introducida
,Salticus austinensis,Salticidae,,
,Sarinda pretiosa,Salticidae,Endémica,
,Sassacus barbipes,Salticidae,,
,Sassacus lirios,Salticidae,,
,Scopocira dentichelis,Salticidae,,
,Semiopyla cataphracta,Salticidae,,
,Sidusa femoralis,Salticidae,Endémica,
,Sidusa marmorea,Salticidae,,
,Sidusa subfusca,Salticidae,,
,Sidusa tarsalis,Salticidae,Endémica,
,Sidusa unicolor,Salticidae,,
,Sympolymnia edwardsi,Salticidae,,
,Synemosyna americana,Salticidae,,
,Synemosyna ubicki,Salticidae,Endémica,
,Xanthofreya bicuspidata,Salticidae,,
,Zuniga magna,Salticidae,,
,Zygoballus rufipes,Salticidae,,
,Zygoballus tibialis,Salticidae,,
35,Scytodes armata,Scytodidae,Endémica,
,Scytodes championi,Scytodidae,,
,Scytodes cogu,Scytodidae,Endémica,
,Scytodes diminuta,Scytodidae,Endémica,
,Scytodes fusca,Scytodidae,,
,Scytodes intricata,Scytodidae,,
,Scytodes longipes,Scytodidae,,
,Scytodes uligocetes,Scytodidae,Endémica,
36,Ariadna isthmica,Segestriidae,,
,Ariadna reginae,Segestriidae,,
37,Selenops bifurcatus,Selenopidae,,
,Selenops mexicanus,Selenopidae,,
,Selenops oricuajo,Selenopidae,Endémica,
38,Senoculus canaliculatus,Senoculidae,,
39,Loxosceles rica,Sicariidae,Endémica,
,Sicarius rugosus,Sicariidae,,
40,Anaptomecus longiventris,Sparassidae,,
,Curicaberis bagaces,Sparassidae,Endémica,
,Curicaberis granada,Sparassidae,,
,Curicaberis manifestus,Sparassidae,,
,Decaphora pestai,Sparassidae,,
,Nolavia audax,Sparassidae,Endémica,
,Olios crassus,Sparassidae,Endémica,
,Olios obscurus,Sparassidae,,
,Sparianthina selenopoides,Sparassidae,,
41,Synotaxus ecuadorensis,Synotaxidae,,
42,Azilia affinis,Tetragnathidae,,
,Chrysometa alajuela,Tetragnathidae,,
,Chrysometa alboguttata,Tetragnathidae,,
,Chrysometa bella,Tetragnathidae,Endémica,
,Chrysometa craigae,Tetragnathidae,Endémica,
,Chrysometa flava,Tetragnathidae,,
,Chrysometa heredia,Tetragnathidae,Endémica,
,Chrysometa muerte,Tetragnathidae,,
,Chrysometa nuboso,Tetragnathidae,Endémica,
,Chrysometa poas,Tetragnathidae,,
,Chrysometa satura,Tetragnathidae,Endémica,
,Chrysometa universitaria,Tetragnathidae,,
,Chrysometa zelotypa,Tetragnathidae,,
,Cyrtognatha bella,Tetragnathidae,Endémica,
,Cyrtognatha insolita,Tetragnathidae,,
,Cyrtognatha pachygnathoides,Tetragnathidae,,
,Dolichognatha pentagona,Tetragnathidae,,
,Glenognatha mendezi,Tetragnathidae,,
,Glenognatha minuta,Tetragnathidae,,
,Glenognatha spherella,Tetragnathidae,,
,Homalometa chiriqui,Tetragnathidae,,
,Leucauge argentea,Tetragnathidae,,
,Leucauge argyra,Tetragnathidae,,
,Leucauge argyrobapta,Tetragnathidae,,
,Leucauge fragilis,Tetragnathidae,,
,Leucauge idonea,Tetragnathidae,,
,Mecynometa globosa,Tetragnathidae,,
,Metabus debilis,Tetragnathidae,,
,Metabus ocellatus,Tetragnathidae,,
,Tetragnatha bogotensis,Tetragnathidae,,
,Tetragnatha cognata,Tetragnathidae,,
,Tetragnatha digitata,Tetragnathidae,,
,Tetragnatha mexicana,Tetragnathidae,,
,Tetragnatha pallida,Tetragnathidae,,
,Tetragnatha paradoxa,Tetragnathidae,Endémica,
,Tetragnatha tenuis,Tetragnathidae,,
,Tetragnatha tristani,Tetragnathidae,Endémica,
43,Acanthopelma rufescens,Theraphosidae,,
,Aenigmarachne sinapophysis,Theraphosidae,Endémica,
,Aphonopelma burica,Theraphosidae,Endémica,
,Aphonopelma crinirufum,Theraphosidae,Endémica,
,Aphonopelma sclerothrix,Theraphosidae,Endémica,
,Aphonopelma seemanni,Theraphosidae,,
,Aphonopelma xanthochromum,Theraphosidae,Endémica,
,Citharacanthus longipes,Theraphosidae,,
,Cyclosternum viridimonte,Theraphosidae,Endémica,
,Davus fasciatus,Theraphosidae,,
,Davus ruficeps,Theraphosidae,,
,Lasiodora brevibulba,Theraphosidae,Endémica,
,Lasiodora carinata,Theraphosidae,Endémica,
,Lasiodora icecu,Theraphosidae,Endémica,
,Lasiodora puriscal,Theraphosidae,Endémica,
,Lasiodora rubitarsa,Theraphosidae,Endémica,
,Megaphobema mesomelas,Theraphosidae,Endémica,
,Megaphobema peterklaasi,Theraphosidae,Endémica,
,Neischnocolus panamanus,Theraphosidae,,
,Psalmopoeus reduncus,Theraphosidae,,
,Sandinista lanceolatum,Theraphosidae,,
,Schizopelma bicarinatum,Theraphosidae,,
,Sericopelma angustum,Theraphosidae,Endémica,
,Sericopelma dota,Theraphosidae,Endémica,
,Sericopelma ferrugineum,Theraphosidae,Endémica,
,Sericopelma generala,Theraphosidae,Endémica,
,Sericopelma immensum,Theraphosidae,Endémica,
,Sericopelma melanotarsum,Theraphosidae,Endémica,
,Sericopelma rubronitens,Theraphosidae,,
,Sericopelma silvicola,Theraphosidae,Endémica,
,Sericopelma upala,Theraphosidae,Endémica,
,Sphaerobothria hoffmanni,Theraphosidae,,
,Stichoplastoris asterix,Theraphosidae,Endémica,
,Stichoplastoris denticulatus,Theraphosidae,Endémica,
,Stichoplastoris elusinus,Theraphosidae,Endémica,
,Stichoplastoris obelix,Theraphosidae,,
,Stichoplastoris stylipus,Theraphosidae,,
,Tliltocatl albopilosus,Theraphosidae,Endémica,
,Trichopelma laselva,Theraphosidae,Endémica,
,Trichopelma venadense,Theraphosidae,Endémica,
44,Achaearanea micratula,Theridiidae,Endémica,
,Ameridion quantum,Theridiidae,,
,Ameridion schmidti,Theridiidae,Endémica,
,Ameridion unanimum,Theridiidae,,
,Anelosimus baeza,Theridiidae,,
,Anelosimus chickeringi,Theridiidae,,
,Anelosimus elegans,Theridiidae,,
,Anelosimus jucundus,Theridiidae,,
,Anelosimus octavius,Theridiidae,,
,Anelosimus oritoyacu,Theridiidae,,
,Anelosimus pacificus,Theridiidae,,
,Anelosimus puravida,Theridiidae,,
,Anelosimus studiosus,Theridiidae,,
,Anelosimus tosus,Theridiidae,,
,Argyrodes elevatus,Theridiidae,,
,Ariamnes attenuatus,Theridiidae,,
,Chrosiothes goodnightorum,Theridiidae,,
,Chrosiothes proximus,Theridiidae,,
,Chrosiothes silvaticus,Theridiidae,,
,Chrosiothes tonala,Theridiidae,,
,Chrysso albomaculata,Theridiidae,,
,Chrysso cambridgei,Theridiidae,,
,Chrysso questona,Theridiidae,,
,Chrysso volcanensis,Theridiidae,,
,Coleosoma acutiventer,Theridiidae,,
,Coleosoma floridanum,Theridiidae,,
,Coleosoma normale,Theridiidae,,
,Cryptachaea oblivia,Theridiidae,,
,Cryptachaea porteri,Theridiidae,,
,Cryptachaea rostrata,Theridiidae,,
,Cryptachaea schraderorum,Theridiidae,Endémica,
,Cryptachaea taeniata,Theridiidae,,
,Dipoena banksi,Theridiidae,,
,Dipoena cordiformis,Theridiidae,,
,Dipoena cornuta,Theridiidae,,
,Dipoena dorsata,Theridiidae,,
,Dipoena insulana,Theridiidae,,
,Dipoena josephus,Theridiidae,,
,Emertonella taczanowskii,Theridiidae,,
,Episinus chiapensis,Theridiidae,,
,Episinus colima,Theridiidae,,
,Episinus vaticus,Theridiidae,,
,Euryopis lineatipes,Theridiidae,,
,Euryopis spinigera,Theridiidae,,
,Exalbidion dotanum,Theridiidae,,
,Faiditus americanus,Theridiidae,,
,Faiditus bryantae,Theridiidae,,
,Faiditus convolutus,Theridiidae,,
,Faiditus dracus,Theridiidae,,
,Faiditus globosus,Theridiidae,,
,Faiditus ululans,Theridiidae,,
,Hentziectypus florendidus,Theridiidae,,
,Hentziectypus florens,Theridiidae,,
,Latrodectus geometricus,Theridiidae,,Introducida
